,0,count,mean,std,min,25%,50%,75%,max,chi,pvalue
1,34459,1.0,34459.0,,34459.0,34459.0,34459.0,34459.0,34459.0,0.0,
2,34188,1.0,34188.0,,34188.0,34188.0,34188.0,34188.0,34188.0,0.0,
3,34377,1.0,34377.0,,34377.0,34377.0,34377.0,34377.0,34377.0,0.0,
4,34380,1.0,34380.0,,34380.0,34380.0,34380.0,34380.0,34380.0,0.0,
5,34511,1.0,34511.0,,34511.0,34511.0,34511.0,34511.0,34511.0,0.0,
6,34339,1.0,34339.0,,34339.0,34339.0,34339.0,34339.0,34339.0,0.0,
7,34196,1.0,34196.0,,34196.0,34196.0,34196.0,34196.0,34196.0,0.0,
8,34396,1.0,34396.0,,34396.0,34396.0,34396.0,34396.0,34396.0,0.0,
9,34079,1.0,34079.0,,34079.0,34079.0,34079.0,34079.0,34079.0,0.0,
10,34101,1.0,34101.0,,34101.0,34101.0,34101.0,34101.0,34101.0,0.0,
11,33938,1.0,33938.0,,33938.0,33938.0,33938.0,33938.0,33938.0,0.0,
12,34403,1.0,34403.0,,34403.0,34403.0,34403.0,34403.0,34403.0,0.0,
13,34435,1.0,34435.0,,34435.0,34435.0,34435.0,34435.0,34435.0,0.0,
14,34203,1.0,34203.0,,34203.0,34203.0,34203.0,34203.0,34203.0,0.0,
15,34137,1.0,34137.0,,34137.0,34137.0,34137.0,34137.0,34137.0,0.0,
16,34354,1.0,34354.0,,34354.0,34354.0,34354.0,34354.0,34354.0,0.0,
